x_len: 21, y_len:9
0,0,-10 1,0,-9 2,0,-8 3,0,-7 4,0,-6 5,0,-5 6,0,-4 7,0,-3 8,0,-2 9,0,-1 
10,0,0 11,0,1 12,0,2 13,0,3 14,0,4 15,0,5 16,0,6 17,0,7 18,0,8 19,0,9 
20,0,10 0,1,-10 1,1,-9 2,1,-8 3,1,-7 4,1,-6 5,1,-5 6,1,-4 7,1,-3 8,1,-2 
9,1,-1 10,1,0 11,1,1 12,1,2 13,1,3 14,1,4 15,1,5 16,1,6 17,1,7 18,1,8 
19,1,9 20,1,10 0,2,-10 1,2,-9 2,2,-8 3,2,-7 4,2,-6 5,2,-5 6,2,-4 7,2,-3 
8,2,-2 9,2,-1 10,2,0 11,2,1 12,2,2 13,2,3 14,2,4 15,2,5 16,2,6 17,2,7 
18,2,8 19,2,9 20,2,10 0,3,-10 1,3,-9 2,3,-8 3,3,-7 4,3,-6 5,3,-5 6,3,-4 
7,3,-3 8,3,-2 9,3,-1 10,3,0 11,3,1 12,3,2 13,3,3 14,3,4 15,3,5 16,3,6 
17,3,7 18,3,8 19,3,9 20,3,10 0,4,-10 1,4,-9 2,4,-8 3,4,-7 4,4,-6 5,4,-5 
6,4,-4 7,4,-3 8,4,-2 9,4,-1 10,4,0 11,4,1 12,4,2 13,4,3 14,4,4 15,4,5 


0,10 0,9 1,9 2,8 3,8 4,7 5,7 6,6 6,6 7,5 
8,5 9,4 10,4 11,3 12,3 12,2 13,2 14,1 15,1 16,0 
17,0 0,10 0,10 0,9 1,9 2,8 3,8 4,7 5,7 6,6 
6,6 7,5 8,5 9,4 10,4 11,3 12,3 12,2 13,2 14,1 
15,1 16,0 -1,11 0,10 0,10 0,9 1,9 2,8 3,8 4,7 
5,7 6,6 6,6 7,5 8,5 9,4 10,4 11,3 12,3 12,2 
13,2 14,1 15,1 -2,11 -1,11 0,10 0,10 0,9 1,9 2,8 
3,8 4,7 5,7 6,6 6,6 7,5 8,5 9,4 10,4 11,3 
12,3 12,2 13,2 14,1 -3,12 -2,11 -1,11 0,10 0,10 0,9 
1,9 2,8 3,8 4,7 5,7 6,6 6,6 7,5 8,5 9,4 
